tcp.flags,tcp.time_delta,tcp.len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.topic,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,Line_origin,Line_prediction
"0x0018","0.015829029","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e323138383030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.989405482","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.019998355","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31372e393533343233",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.010229669","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313337",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.016459908","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32362e343637393935",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.009847799","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e333639383030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.005796649","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","323533",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.008582398","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","323436",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","2.953645478","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32312e353137383937",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.009830768","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313434",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.994451361","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.000189268","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
