sample,wall_time_s,cpu_time_s,cpu_percent,ram_change_mb,pred_idx
160,2.7382999633118743e-05,2.742200000005468e-05,100.14242547368247,0.0,1
161,2.386599999226746e-05,2.3885000000056777e-05,100.07961119498647,0.0,1
162,2.3846000203775475e-05,2.3864999999734238e-05,100.07967707706283,0.0,1
163,2.3234999844135018e-05,2.3333999999763932e-05,100.42608201546386,0.0,2
164,2.3114999748941045e-05,2.317399999984815e-05,100.25524659981797,0.0,1
165,2.3194000277726445e-05,2.329400000000703e-05,100.4311447834922,0.0,3
166,2.3023999801807804e-05,2.3093000000251607e-05,100.2996881473148,0.0,1
167,2.3075000171957072e-05,2.3113000000130057e-05,100.16467964415952,0.0,1
168,2.9617000109283254e-05,2.977600000031444e-05,100.53685346403923,0.0,1
169,2.473700033078785e-05,2.4767000000203154e-05,100.12127448362429,0.0,2
170,2.4406999727943912e-05,2.4455999999783984e-05,100.20076319247045,0.0,1
171,2.3415000214299653e-05,2.3474000000245354e-05,100.25197431307163,0.0,1
172,2.3564999992231606e-05,2.3635000000243878e-05,100.29705074489857,0.0,1
173,2.3505000172008295e-05,2.3573999999637607e-05,100.29355382737451,0.0,3
174,2.3084000076778466e-05,2.3123999999707934e-05,100.17327985962756,0.0,3
175,2.7412999770604074e-05,2.7540999999686733e-05,100.46693258728992,0.0,0
176,2.3935999706736766e-05,2.4035000000033335e-05,100.41360417158054,0.0,0
177,2.349499982301495e-05,2.358400000002092e-05,100.37880475708192,0.0,1
178,2.3134999992180383e-05,2.321399999960505e-05,100.3414739894159,0.0,3
179,2.2934000298846513e-05,2.302299999978885e-05,100.38806880519144,0.0,0
180,2.2833999992144527e-05,2.290300000007406e-05,100.30218099305101,0.0,1
181,2.34950002777623e-05,2.358400000002092e-05,100.37880281424323,0.0,2
182,2.2973999875830486e-05,2.3064000000072582e-05,100.39174773539013,0.0,2
183,3.18709999191924e-05,3.2000000000032e-05,100.40475693002,0.0,3
184,2.355499964323826e-05,2.3664999999617464e-05,100.46699366608047,0.0,0
185,2.3285000224859687e-05,2.3343999999703158e-05,100.25338103617658,0.0,1
186,2.3085000066203065e-05,2.3173000000209498e-05,100.38119962639837,0.0,0
187,2.7071999738836894e-05,2.7160999999775726e-05,100.32875392212401,0.0,3
188,2.3284000235435087e-05,2.3404000000226688e-05,100.51537434967457,0.0,2
189,2.3565999981656205e-05,2.3665000000061553e-05,100.42009682798275,0.0,1
190,2.3115000203688396e-05,2.319400000017069e-05,100.3417685303316,0.0,1
191,2.3444999897037633e-05,2.3515000000084996e-05,100.29857156474633,0.0,1
192,2.329500011910568e-05,2.3364000000025698e-05,100.29620038878397,0.0,3
193,2.3475000034522964e-05,2.3533999999880706e-05,100.25133105546742,0.0,1
194,2.3205000161397038e-05,2.327400000012858e-05,100.29734901207338,0.0,0
195,2.2904000161361182e-05,2.2973000000092725e-05,100.30125671605586,0.0,1
196,2.3053999939293135e-05,2.3163999999908924e-05,100.47714089054153,0.0,1
197,2.324499973838101e-05,2.3353999999642383e-05,100.46891917611596,0.0,1
198,2.2994000119069824e-05,2.304300000011139e-05,100.21309855087341,0.0,2
199,2.335499993932899e-05,2.3414000000165913e-05,100.25262282590535,0.0,0
200,2.872499999284628e-05,2.8824999999788048e-05,100.34812883191184,0.0,0
201,2.34950002777623e-05,2.3624000000221912e-05,100.54905180223261,0.0,1
202,2.304500003447174e-05,2.3082999999868292e-05,100.16489462069738,0.0,2
203,2.267399986521923e-05,2.2803000000237716e-05,100.5689341791713,0.0,2
204,2.2913999600859825e-05,2.3013999999932366e-05,100.4364161683445,0.0,3
205,2.326499998162035e-05,2.3364000000025698e-05,100.42553199434154,0.0,2
206,2.332399981241906e-05,2.3373999999964923e-05,100.21437226868454,0.0,2
207,2.9446999633364612e-05,2.9565999999814352e-05,100.40411711865853,0.0,1
208,2.3655999939364847e-05,2.3703999999735714e-05,100.20290860878383,0.0,3
209,2.3253999643202405e-05,2.3364000000025698e-05,100.47303843859585,0.0,1
210,2.3365000288322335e-05,2.3434000000044364e-05,100.29531226565622,0.0,1
211,2.306400028828648e-05,2.3134000000091248e-05,100.3035020418393,0.0,0
212,2.3034000150801148e-05,2.3123999999707934e-05,100.39072609324289,0.0,1
213,2.3134000002755783e-05,2.319400000017069e-05,100.25935850872204,0.0,0
214,2.3535999844170874e-05,2.358400000002092e-05,100.20394355951669,0.0,1
215,2.2944000193092506e-05,2.302299999978885e-05,100.34431575153198,0.0,3
216,2.360600001338753e-05,2.3644999999739014e-05,100.16521217626607,0.0,3
217,2.3415000214299653e-05,2.3473999999801265e-05,100.25197431117503,0.0,1
218,2.295399963259115e-05,2.302299999978885e-05,100.30060280692751,0.0,2
219,2.343500000279164e-05,2.3473999999801265e-05,100.16641773844668,0.0,1
220,2.3194000277726445e-05,2.323399999992759e-05,100.17245719462873,0.0,0
221,2.3054999928717734e-05,2.3104000000273572e-05,100.21253555284034,0.0,0
222,2.2823999643151183e-05,2.2893000000134833e-05,100.30231492316184,0.0,0
223,2.3134000002755783e-05,2.325400000025013e-05,100.51871702896193,0.0,3
224,2.363499970670091e-05,2.3683999999857264e-05,100.2073208959781,0.0,1
225,2.3515000066254288e-05,2.358400000002092e-05,100.29342944321593,0.0,2
226,2.7563000003283378e-05,2.765199999998913e-05,100.32289662480554,0.0,0
227,2.3564999992231606e-05,2.365499999967824e-05,100.38192237418333,0.0,0
228,2.332400026716641e-05,2.3404000000226688e-05,100.34299319217936,0.0,0
229,2.352499996050028e-05,2.3613999999838597e-05,100.37832110302975,0.0,3
230,3.2533000194234774e-05,3.2661000000100415e-05,100.39344605508693,0.0,3
231,2.3966000298969448e-05,2.404500000041665e-05,100.32963239782066,0.0,2
232,2.7843999760079896e-05,2.8032999999982877e-05,100.67878265167187,0.0,1
233,2.408599993941607e-05,2.4156000000274958e-05,100.29062551289114,0.0,3
234,2.3335000150837004e-05,2.3394000000287463e-05,100.25283843612208,0.0,3
235,2.3385000076814322e-05,2.3474000000245354e-05,100.38058551694971,0.0,1
236,2.3625999801879516e-05,2.3683999999857264e-05,100.24549309432031,0.0,0
237,2.332499980184366e-05,2.3373999999964923e-05,100.21007587797446,0.0,1
238,2.7191999834030867e-05,2.7291999999956573e-05,100.36775583456925,0.0,1
239,2.349499982301495e-05,2.3573999999637607e-05,100.33624250784318,0.0,2
240,2.3163999685493764e-05,2.323399999992759e-05,100.30219441972133,0.0,1
241,2.3414999759552302e-05,2.3494999999762456e-05,100.34166235759842,0.0,1
242,2.321500005564303e-05,2.325300000016739e-05,100.16368703180392,0.0,0
243,2.3444999897037633e-05,2.350400000006303e-05,100.25165324497549,0.0,3
244,2.3415000214299653e-05,2.348400000018458e-05,100.29468197844724,0.0,2
245,2.352499996050028e-05,2.3623999999777823e-05,100.42082907308722,0.0,0
246,2.7333000161888776e-05,2.7470999999668066e-05,100.50488360941696,0.0,1
247,2.552900014052284e-05,2.564900000034953e-05,100.47005311279784,0.0,2
248,2.445699965392123e-05,2.4616000000143856e-05,100.65012204470116,0.0,3
249,2.368500008742558e-05,2.3785000000220435e-05,100.42220777887161,0.0,1
250,2.3244000203703763e-05,2.3323999999824707e-05,100.34417396067738,0.0,3
251,2.3935999706736766e-05,2.400500000021566e-05,100.28826994620775,0.0,0
252,2.3675000193179585e-05,2.3785000000220435e-05,100.46462431317124,0.0,1
253,3.274300024713739e-05,3.284199999997739e-05,100.30235394463784,0.0,3
254,2.3986000087461434e-05,2.4074999999790236e-05,100.37104941217491,0.0,2
255,2.3986000087461434e-05,2.4014999999710795e-05,100.12090349430342,0.0,0
256,2.3875999886513455e-05,2.3915000000318543e-05,100.16334442113613,0.0,0
257,2.3534999854746275e-05,2.3634000000161137e-05,100.4206507160649,0.0,1
258,2.340499986530631e-05,2.350400000006303e-05,100.42298711953197,0.0,0
259,2.3766000140312826e-05,2.3904999999935228e-05,100.58486854667068,0.0,0
260,2.338399963264237e-05,2.346399999986204e-05,100.34211584192805,0.0,0
261,2.349499982301495e-05,2.356400000014247e-05,100.29368026238473,0.0,3
262,2.7812999633169966e-05,2.796299999996421e-05,100.53931747302565,0.0,3
263,2.3906000023998786e-05,2.398499999989312e-05,100.33046087097392,0.0,1
264,2.34950002777623e-05,2.3595000000042887e-05,100.42562128579856,0.0,0
265,2.7101999876322225e-05,2.7200999999976716e-05,100.3652871526318,0.0,1
266,2.3545999738416867e-05,2.3593999999960147e-05,100.20385739436226,0.0,1
267,2.304400004504714e-05,2.3134000000091248e-05,100.39055699908077,0.0,1
268,2.3394999971060315e-05,2.3473999999801265e-05,100.33767911450597,0.0,1
269,2.349499982301495e-05,2.3585000000103662e-05,100.38306098219482,0.0,3
270,2.3254000097949756e-05,2.3304000000390346e-05,100.21501635086429,0.0,1
271,2.3255000087374356e-05,2.3354000000086472e-05,100.42571452307097,0.0,2
272,2.3544999748992268e-05,2.3624999999860563e-05,100.33977596823598,0.0,3
273,2.3385000076814322e-05,2.3444000000427678e-05,100.25229815445608,0.0,2
274,2.357600033064955e-05,2.3645000000183103e-05,100.29266910657381,0.0,0
275,2.3205000161397038e-05,2.3284000000067806e-05,100.34044317225298,0.0,1
276,2.3244000203703763e-05,2.3344000000147247e-05,100.43021767151572,0.0,1
277,2.5608999749238137e-05,2.5638999999966217e-05,100.11714729595782,0.0,1
278,2.3425000108545646e-05,2.3554000000203246e-05,100.55069323824908,0.0,1
279,2.3424999653798295e-05,2.3514000000002255e-05,100.37993744938873,0.0,2
280,2.3534999854746275e-05,2.3594000000404236e-05,100.25069108146208,0.0,1
281,2.3445000351784984e-05,2.3533999999880706e-05,100.37961035086505,0.0,3
282,2.340500032005366e-05,2.346400000030613e-05,100.2520815186741,0.0,1
283,2.3314999907597667e-05,2.3364000000025698e-05,100.21016552700934,0.0,1
284,2.349499982301495e-05,2.3614000000282687e-05,100.50649150101788,0.0,0
285,2.7573000352276722e-05,2.773300000002976e-05,100.58027652308003,0.0,0
